gene,mRNA_level
citT,379.352
citG,181.74
ybdU,163.094
citF,102.866
citE,136.336
citD,95.9456
citC,846.987
citA,205.809
citB,355.948
dcuC,908.758
crcA,265.85
cspE,4403.75
crcB,305.333
ybeH,885.183
ybeM,514.313
tatE,1750.49
lipA,1156.59
ybeF,147.921
lipB,776.878
ybeD,1303.08
dacA,1973.43
rlpA,1440.81
mrdB,1245.49
mrdA,471.163
ybeA,1689.21
ybeB,N.D.
phpB,280.391
nadD,2006.08
holA,1375.18
rlpB,1892.93
leuS,2734.25
ybeL,1396.13
ybeQ,58.7288
ybeR,28.0548
ybeS,33.0054
ybeT,71.3719
ybeU,295.369
ybeV,94.9866
hscC,302.991
rihA,515.28
gltL,571.545
gltK,565.065
gltJ,617.277
gltI,2272.4
trs5_3,N.D.
lnt,1022.44
ybeX,2332.63
ybeY,1770.7
ybeZ,2262.25
yleA,1288.24
ubiF,751.283
asnB,856.689
nagD,1011.22
nagC,1075.84
nagA,1017.88
nagB,593.76
nagE,576.068
glnS,1339.67
ybfM,312.449
ybfN,375.807
fur,3611.81
fldA,2794.43
ybfE,675.911
ybfF,585.733
seqA,3564.92
pgm,1134.97
ybfP,141.706
ybfG,235.16
ybfH,147.018
potE,94.4463
speF,256.053
kdpE,650.206
kdpD,629.338
kdpC,978.823
kdpB,61.19
kdpA,177.649
ybfA,749.755
rhsC,N.D.
ybfB,44.6313
ybfO,179.069
ybfC,N.D.
ybfL,38.6748
ybfD,35.9568
ybgA,1351.42
phrB,674.562
ybgH,903.034
ybgI,2016.54
ybgJ,1226.25
ybgK,1100.02
ybgL,1091.2
nei,898.68
abrB,327.328
ybgO,55.6076
ybgP,137.247
ybgQ,278.514
ybgD,52.6208
gltA,4711.1
sdhC,3507.19
sdhD,4385.48
sdhA,5207.02
sdhB,2151.11
sucA,4780.26
sucB,5997.73
sucC,6980.64
sucD,3364.08
farR,629.549
hrsA,161.595
ybgG,165.919
cydA,1744.37
cydB,2154.12
ybgE,662.183
ybgC,1822.76
tolQ,1200.51
tolR,1245.62
tolA,1385.05
tolB,4235.98
pal,5970.57
ybgF,3452.89
nadA,1950.68
pnuC,1425.42
ybgR,297.834
ybgS,1067.04
aroG,4836.37
gpmA,2530.79
galM,1572.08
galK,2381.48
galT,667.443
galE,1455.51
modF,568.546
modE,803.794
ybhT,841.432
modA,589.627
modB,354.58
modC,234.09
ybhA,680.633
ybhE,1761.65
ybhD,97.8092
ybhH,148.926
ybhI,86.5701
ybhJ,183.272
ybhC,1950.91
ybhB,820.043
bioA,1878.29
bioB,1792.14
bioF,605.541
bioC,636.352
bioD,673.491
uvrB,1289.12
ybhK,523.068
moaA,1729.84
moaB,2130.46
moaC,2098.59
moaD,1988.77
moaE,1370.25
ybhL,1742.38
ybhM,49.3803
ybhN,180.426
ybhO,428.069
ybhP,529.15
ybhQ,578.144
ybhR,267.928
ybhS,649.282
ybhF,236.595
ybhG,588.845
ybiH,315.212
rhlE,457.377
ybiA,268.613
dinG,274.32
ybiB,1069.12
ybiC,2103.12
ybiJ,604.583
ybiI,234.956
ybiX,230.407
ybiL,380.228
ybiM,1373.26
ybiN,752.555
ybiO,246.593
glnQ,2236.29
glnP,1881.57
glnH,4602.6
dps,6343.03
ybiF,261.788
ompX,5308.19
ybiP,257.495
mntR,1245.73
ybiR,409.762
ybiS,1736.13
ybiT,1040.88
ybiU,626.466
ybiV,776.478
ybiW,1069.32
ybiY,592.79
fsa,868.213
moeB,332.129
