gene,mRNA_level
spo0M,37.75
katA,4.88
ygaO,0.95
ygzD,1.11
yhzB,0.87
cspR,5.7
yhbI,0.73
yhbJ,0.93
yhcA,1.4
yhcB,2.63
yhcC,2.83
yhcH,1.15
yhcI,2.19
cspB,1037.55
yhcJ,2.12
yhcK,0.83
yhcV,1
yhcW,2.05
yhcX,4.61
yhxA,1.24
glpP,2.44
glpF,1.74
glpK,5.65
glpD,3.59
pgcA,16.64
lytF,3.42
nsrR,1.48
lytE,3.12
yhdF,1.15
yhdH,1.46
yhdK,5.4
yhdL,2.98
sigM,1.77
yhdN,4.99
plsC,7.49
yhdP,3.11
cueR,2.01
yhdR,1.05
yhdT,1.64
yhdY,1.05
yhdZ,1.06
yheN,2.66
dat,1.98
nhaC,0.5
nhaX,5.2
yheG,2.06
sspB,2.67
yheB,2.18
yheA,34.73
yhaU,0.53
khtT,0.45
khtS,1.53
yhaR,1.58
natA,1.32
natB,2.1
yhaO,0.74
yhaN,1.54
yhaM,5.23
prsA,14.51
yhzE,6.86
yhaI,5.38
hpr,5.35
yhaH,2.7
trpP,12.81
serC,4.94
hinT,19.55
ecsB,2.64
ecsC,4.81
yhgC,12.31
hemE,5.13
hemH,12.51
hemY,9.81
yhgD,1.02
yhgE,1.15
fabHB,1.94
yhfE,5.46
yhfF,7.24
gltT,11.59
yhfI,5.48
yhfJ,8.74
yhfK,14.86
yhfO,1.08
yhfP,5.12
yhfQ,8.6
phoE,1.46
hemAT,1.33
yhzC,1.59
yhjA,36.75
yhjE,1.66
sipV,2.11
addB,1.54
addA,3.22
sbcD,1.97
sbcC,2.51
yisB,4.01
yisI,0.4
yisK,3.62
yisL,8.48
wprA,18.85
yisT,2.59
yitH,1.55
yitK,1.49
yitL,1.29
yitS,1.34
yitT,2.48
ipi,3.72
yizC,2.83
yitU,1.4
yitV,1.65
yitW,6.65
yitY,1.04
yitZ,1.6
yjzD,7.4
med,4.97
comZ,12.33
yjzB,0.63
fabHA,4.63
fabF,11.96
trpS,5.93
oppA,7.6
oppB,1.53
oppC,1.68
oppD,1.93
oppF,2.34
yjbC,23.23
spxA,71.03
mecA,11.15
pepF,9.42
yjbH,3.64
yjbI,2.05
yjbJ,4.81
yjbL,4.58
yjbM,6.05
ppnKA,7.09
yjbO,8.73
thiS,0.33
thiG,0.3
thiF,0.3
yjbV,0.36
fabI,20.59
cotZ,0.2
cotY,0.36
cotX,3.9
cotW,1.36
cotV,3.5
yjcZ,6.2
spoVIF,10.49
yjzE,3.5
yjcF,8.13
yjcG,6.58
yjcH,2.72
yjcM,5.36
yjcN,6.37
yjcQ,1.04
yjcS,3.69
yjdA,3.87
manR,0.66
manP,2.69
manA,4.59
yjdF,4.8
yjdG,0.71
yjdH,0.88
yjdI,2.34
yjzH,9.48
yjeA,1.95
yjfB,2.52
yjgC,0.33
yjgD,0.41
hemD,1.2
yjlB,0.79
rex,56.65
ndh,53.78
uxaC,1.1
yjoA,51.43
yjoB,6.36
rapA,1.81
phrA,1.23
yjqA,5.25
yjqC,0.8
xtmA,1.46
xtmB,1.53
xkdE,1.51
xkdF,3.02
xkdG,3.6
ykzL,5.46
xkdH,4.76
xkdI,3.71
xkdJ,3.86
ykzM,5.56
xkdK,4.56
xkdM,5.89
xkdN,2.98
xkzB,2.43
xkdO,1.56
xkdP,1.54
xkdQ,1.39
xkdR,1.89
xkdS,1.3
xkdT,1.29
xkdU,1.45
xkzA,1.34
xkdV,1.24
xkdW,1.96
xkdX,2.13
xepA,1.53
xhlA,2.16
xhlB,2.43
xlyA,2.27
spoIISB,2.09
spoIISA,0.97
pit,9.17
ykaA,5.65
ykbA,1.34
ykgB,12.81
ykgA,1.63
ykhA,2.23
purU,2.64
proB,1.29
proA,4.36
ohrA,1.77
ohrR,1.68
ohrB,6.84
ykzN,0.8
rsbRB,14.83
ykoJ,0.61
mgtE,4.02
ykoM,7.16
ykoX,1.13
ykrK,1.59
ykrL,19.53
ogt,1.71
mtnD,1.17
ykvA,2.9
spo0E,1.99
kinD,1.38
mhqR,3.65
motB,6.11
motA,3.99
clpE,2.71
queC,0.35
queD,0.69
queE,1.31
ykvM,3.28
ykvS,2.5
ykzS,2.3
ykvY,7.91
ykvZ,1.79
glcT,9.05
ptsG,59.34
ptsH,196.04
ptsI,165.84
splA,1.15
splB,1.06
mcpC,2.14
ykwC,6.98
pbpH,1.01
patA,3.8
ykzT,1.54
cheV,1.8
ykyB,1.1
ykuC,1.45
fadG,2.55
ykzU,3.82
ykuH,0.6
ykuI,1.98
ykuJ,22.56
ykuK,14.4
ykzF,5.3
ykuL,1.88
ccpC,2.12
ykuN,8.11
ykuO,9.51
ykuP,12.2
dapH,22.65
dapL,3.58
ykuS,5.26
ykuT,1.11
rok,7.66
mobA,1.14
moeB,1.48
moeA,2.87
mobB,4.51
moaE,5.42
moaD,4.04
yknW,7.71
yknX,6.94
yknY,7.54
yknZ,8.57
fruR,1.65
fruK,2.06
fruA,2.96
sipT,3.27
ykoA,4.04
ykpA,9.72
ykpB,3.26
ampS,2.69
ykpC,3.04
mreBH,2.13
abh,53.75
kinC,2.93
ykqA,3.92
ktrC,5.01
adeC,1.3
rnjA,13.95
ykzG,9.15
ykrA,4
def,2.43
ykzV,0.6
pdhA,57.75
pdhB,103.44
pdhC,134.78
pdhD,184.42
yktA,2.17
yktB,3.74
ykzI,1.15
suhB,1.58
ykzC,2.53
ylaF,3.5
bipA,8.64
ylaH,16.95
ylaI,2.01
ylaK,1.76
ylaL,14.49
